,odd_size_score,is_odd_size_issue,odd_aspect_ratio_score,is_odd_aspect_ratio_issue,low_information_score,is_low_information_issue,light_score,is_light_issue,grayscale_score,is_grayscale_issue,dark_score,is_dark_issue,blurry_score,is_blurry_issue,exact_duplicates_score,is_exact_duplicates_issue,near_duplicates_score,is_near_duplicates_issue
0,0.9983723427650513,False,0.7504892367906066,False,0.8397409673453039,False,0.8405437922213307,False,1,False,0.8648931814402325,False,0.4153075477041236,False,1.0,False,1.0,False
1,0.9983723427650513,False,0.7504892367906066,False,0.6957466609330369,False,0.6983663600509009,False,1,False,0.7168465802442271,False,0.6814645679887275,False,1.0,False,1.0,False
2,0.9983723427650513,False,0.7504892367906066,False,0.8430541807206778,False,0.7145187730346622,False,1,False,0.7801998482136699,False,0.3284647421342878,False,1.0,False,1.0,False
3,0.9983723427650513,False,0.7504892367906066,False,0.8113288361061207,False,0.7401377941810855,False,1,False,0.9004906091559247,False,0.6574847437552189,False,1.0,False,1.0,False
4,0.9983723427650513,False,0.7504892367906066,False,0.7359517129964062,False,0.996078431372549,False,1,False,0.9312147647566217,False,0.6842192008264133,False,1.0,False,1.0,False
5,0.9983723427650513,False,0.7504892367906066,False,0.785875727819679,False,0.7060484390506756,False,1,False,0.6984528406604715,False,0.5286528364027077,False,1.0,False,1.0,False
6,0.9983723427650513,False,0.7504892367906066,False,0.788203591755816,False,0.7408439450393633,False,1,False,0.720044895861988,False,0.5334419665202826,False,1.0,False,1.0,False
7,0.9983723427650513,False,0.7504892367906066,False,0.8234238637075015,False,0.7012080712504267,False,1,False,0.8574673955823252,False,0.6060189201079091,False,1.0,False,1.0,False
8,0.9983723427650513,False,0.7504892367906066,False,0.8256323795827568,False,0.6789299417506136,False,1,False,0.7664057125719873,False,0.3423277780815599,False,1.0,False,1.0,False
9,0.9983723427650513,False,0.7504892367906066,False,0.7150595878973731,False,0.5829749269258837,False,1,False,0.6736032781939936,False,0.6225128667492066,False,1.0,False,1.0,False
